Id,avg_sleep_time_h,avg_time_bed_h,wasted_bed_time_m
1503960366,6.004666,6.386666,22.92
1644430081,4.9,5.766666,52
1844505072,10.866666,16.016666,309
1927972279,6.95,7.296666,20.8
2026352035,8.436309,8.960714,31.464285
2320127002,1.016666,1.15,8
2347167796,7.446666,8.188888,44.533333
3977333714,4.894047,7.685714,167.5
4020332650,5.822916,6.329166,30.375
4319703577,7.94423,8.366025,25.307692
4388161847,6.71875,7.103472,23.083333
4445114986,6.419642,6.947023,31.642857
4558609924,2.126666,2.333333,12.4
4702921684,7.019047,7.366071,20.821428
5553957443,7.724731,8.431182,42.387096
5577150313,7.2,7.676923,28.615384
6117666160,7.979629,8.502777,31.388888
6775888955,5.827777,6.15,19.333333
6962181067,7.466666,7.768817,18.129032
7007744171,1.141666,1.191666,3
7086361926,7.552083,7.773611,13.291666
8053475328,4.95,5.027777,4.666666
8378563200,7.389062,8.055208,39.96875
8792009665,7.261111,7.563333,18.133333
